Numeración;Puesto Institucional;Régimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;12115;Profesor Auxiliar;2786.52;33438.24;232.21;40.17;0;0;272.38
2;Profesor Titular Principal De Escalafon Previo Tiempo Parcial;3.Otros Regimenes Especiales;12400;Personal Academico Principal;1836.32;22035.84;153.03;40.17;0;0;193.2
3;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11580;Profesor Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
4;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;14355;Personal Academico Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
5;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;11950;Personal Academico Agregado;4346.97;52163.64;362.25;40.17;0;0;402.42
6;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8726;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
7;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;12100;Personal Academico Agregado;3744.70;44936.4;312.06;40.17;0;0;352.23
8;Analista De Talento Humano 2;1.Servicio Civil Publico (Losep);16021;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
9;Responsable De Desarrollo Docente;1.Servicio Civil Publico (Losep);16070;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
10;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8832;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
11;Especialista De Secretaria General;1.Servicio Civil Publico (Losep);16079;Uep Nivel Profesional A3;1676;20112;139.67;40.17;0;0;179.84
12;Administrador 2;1.Servicio Civil Publico (Losep);15812;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
13;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;12460;Profesor Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
14;Profesor Agregado Escalafon Previo Tiempo Parcial;3.Otros Regimenes Especiales;11780;Personal Academico Agregado;1404.86;16858.32;117.07;40.17;0;0;157.24
15;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11310;Profesor Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
16;Tecnico Supervisor;2.Codigo Del Trabajo;20393;Nivel 8;700;8400;58.33;40.17;0;0;98.5
17;Conserje Externo;2.Codigo Del Trabajo;10590;Nivel 1;948;11376;79;40.17;0;0;119.17
18;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8730;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
19;Director De Admision Y Registro;1.Servicio Civil Publico (Losep);11;Uep Nivel Directivo A1;3996.04;47952.48;333;40.17;0;0;373.17
20;Ayudante De Servicios Administrativos;2.Codigo Del Trabajo;37816;Nivel 1;561;6732;46.75;40.17;0;0;86.92
21;Director De Docencia;1.Servicio Civil Publico (Losep);234;Uep Nivel Directivo A1;3996.04;47952.48;333;40.17;0;0;373.17
22;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;11290;Personal Academico Auxiliar;3463.99;41567.88;288.67;40.17;0;0;328.84
23;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8526;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
24;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8795;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
25;Tecnico De Mantenimiento;2.Codigo Del Trabajo;37810;Nivel 8;826;9912;68.83;40.17;0;0;109
26;Secretaria Ejecutiva 2;1.Servicio Civil Publico (Losep);15683;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
27;Profesor Agregado Tiempo Completo;3.Otros Regimenes Especiales;12000;Profesor Universitario;3193.90;38326.8;266.16;40.17;0;0;306.33
28;Analista De Servicios De Bienestar 1;1.Servicio Civil Publico (Losep);15690;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
29;Auxiliar De Servicios;2.Codigo Del Trabajo;37792;Nivel 1;561;6732;46.75;40.17;0;0;86.92
30;Analista De Relaciones Institucionales 2;1.Servicio Civil Publico (Losep);10475;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
31;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8787;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
32;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8612;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
33;Auxiliar De Servicios;2.Codigo Del Trabajo;37818;Nivel 1;561;6732;46.75;40.17;0;0;86.92
34;Profesor Principal Tiempo Completo;3.Otros Regimenes Especiales;12835;Profesor Principal;4025.42;48305.04;335.45;40.17;0;0;375.62
35;Director De Investigacion;3.Otros Regimenes Especiales;233;Autoridades Academicas Nivel 2;3996.04;47952.48;333;40.17;0;0;373.17
36;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;10165;Profesor Auxiliar;2786.52;33438.24;232.21;40.17;0;0;272.38
37;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8629;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
38;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12675;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
39;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11415;Personal Academico Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
40;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;14670;Personal Academico Agregado;3744.70;44936.4;312.06;40.17;0;168.43;520.66
41;Tecnico/A Docente Tiempo Completo;3.Otros Regimenes Especiales;8748;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
42;Miembro Profesor Principal De La Comision De Evaluacion Interna;3.Otros Regimenes Especiales;5;Autoridades Academicas Nivel 1;3996.04;47952.48;333;40.17;0;0;373.17
43;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;13470;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
44;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8621;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
45;Asistente Geofisico;1.Servicio Civil Publico (Losep);15774;Uep Nivel Profesional Apoyo Tecnico A4;817;9804;68.08;40.17;0;0;108.25
46;Carpintero;2.Codigo Del Trabajo;20384;Nivel 2;578;6936;48.17;40.17;0;0;88.34
47;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8553;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
48;Guia De Museo;1.Servicio Civil Publico (Losep);15844;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
49;Analista De Redes De Monitoreo Geofisico 1;1.Servicio Civil Publico (Losep);15852;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
50;Analista De Redes De Monitoreo Geofisico 3;1.Servicio Civil Publico (Losep);15743;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
51;Asistente De Presupuesto;1.Servicio Civil Publico (Losep);15767;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
52;Tecnico/A Docente 3 Tiempo Completo;3.Otros Regimenes Especiales;8680;Personal De Apoyo (Universidades);1212;14544;101;40.17;0;0;141.17
53;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;12110;Personal Academico Auxiliar;3463.99;41567.88;288.67;40.17;0;0;328.84
54;Especialista De Tecnologias De La Información Y Comunicaciones 1.;1.Servicio Civil Publico (Losep);15577;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
55;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8626;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
56;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;12370;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
57;Asistente De Laboratorio De Ensayo;1.Servicio Civil Publico (Losep);15879;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
58;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;13050;Personal Academico Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
59;Tecnico/A Docente 5 Tiempo Completo;3.Otros Regimenes Especiales;8831;Personal De Apoyo (Universidades);1676;20112;139.67;40.17;0;0;179.84
60;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8544;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
61;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8797;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
62;Tecnico/A De Laboratorio 4 Tiempo Completo;3.Otros Regimenes Especiales;8824;Personal De Apoyo (Universidades);1412;16944;117.67;40.17;0;0;157.84
63;Asistente De Tecnologias De La Informacion Y Comunicaciones;1.Servicio Civil Publico (Losep);15951;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
64;Analista De Servicios Y Soporte Al Usuario 1;1.Servicio Civil Publico (Losep);15949;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
65;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8802;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
66;Asistente De Laboratorios;1.Servicio Civil Publico (Losep);15935;Uep Nivel Profesional A3;755.93;9071.16;62.99;40.17;0;0;103.16
67;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8642;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
68;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8674;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
69;Profesor Titular Principal De Escalafon Previo Tiempo Parcial;3.Otros Regimenes Especiales;11615;Personal Academico Principal;1845.79;22149.48;153.82;40.17;0;0;193.99
70;Conserje;2.Codigo Del Trabajo;37805;Nivel 1;561;6732;46.75;40.17;0;0;86.92
71;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11690;Personal Academico Principal;3526.39;42316.68;293.87;40.17;0;0;334.04
72;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11405;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
73;Geofisico 2;1.Servicio Civil Publico (Losep);15751;Uep Nivel Profesional A3;1676;20112;139.67;40.17;0;0;179.84
74;Albanil;2.Codigo Del Trabajo;15;Nivel 2;578;6936;48.17;40.17;0;0;88.34
75;Secretaria Ejecutiva 1;1.Servicio Civil Publico (Losep);15521;Uep Nivel Profesional Apoyo Tecnico A4;901;10812;75.08;40.17;0;0;115.25
76;Responsable De Patrocinio Judicial Y Extrajudicial;1.Servicio Civil Publico (Losep);16061;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
77;Tecnico/A De Laboratorio 4 Tiempo Completo;3.Otros Regimenes Especiales;8813;Personal De Apoyo (Universidades);1412;16944;117.67;40.17;0;0;157.84
78;Recaudador;1.Servicio Civil Publico (Losep);15898;Uep Nivel Administrativo A5;817;9804;68.08;40.17;100.81;0;209.06
79;Tecnico De Mantenimiento;2.Codigo Del Trabajo;37794;Nivel 8;826;9912;68.83;40.17;0;0;109
80;Chofer;2.Codigo Del Trabajo;37822;Nivel 3;596;7152;49.67;40.17;29.76;0;119.6
81;Especialista De Laboratorio De Ensayos 1;1.Servicio Civil Publico (Losep);15644;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
82;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8535;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
83;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;12585;Personal Academico Agregado;3744.70;44936.4;312.06;40.17;0;0;352.23
84;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11840;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
85;Jefe De Departamento;3.Otros Regimenes Especiales;40;Autoridades Academicas Nivel 1;3996.04;47952.48;333;40.17;0;0;373.17
86;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8549;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
87;Auxiliar De Ingenieria;2.Codigo Del Trabajo;20422;Nivel 6;773;9276;64.42;40.17;0;0;104.59
88;Tecnico/A De Laboratorio 1 Tiempo Completo;3.Otros Regimenes Especiales;8807;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
89;Responsable De Redes De Instrumentacion Del Geofisico;1.Servicio Civil Publico (Losep);4127;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
90;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8584;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
91;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;11970;Personal Academico Agregado;4346.97;52163.64;362.25;40.17;0;0;402.42
92;Profesor Agregado Tiempo Completo;3.Otros Regimenes Especiales;11235;Personal Academico Agregado;3744.70;44936.4;312.06;40.17;0;0;352.23
93;Jefe De Departamento;3.Otros Regimenes Especiales;150;Autoridad Universitaria;3996.04;47952.48;333;40.17;0;0;373.17
94;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8579;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
95;Tecnico/A De Laboratorio 1 Tiempo Completo;3.Otros Regimenes Especiales;8508;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
96;Tecnico/A Docente 3 Tiempo Completo;3.Otros Regimenes Especiales;8681;Personal De Apoyo (Universidades);1212;14544;101;40.17;0;0;141.17
97;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8727;Profesor Universitario;1148.71;13784.52;95.73;40.17;0;0;135.9
98;Asistente De Laboratorio De Ensayo;1.Servicio Civil Publico (Losep);16053;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
99;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8685;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
100;Analista De Astronomia 2;1.Servicio Civil Publico (Losep);15588;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
101;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8686;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
102;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;12325;Personal Academico Principal;4015.65;48187.8;334.64;40.17;0;0;374.81
103;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11885;Personal Academico Principal;4391.2;52694.4;365.93;40.17;0;0;406.1
104;Subdecano/A De Facultad;3.Otros Regimenes Especiales;85;Autoridad Universitaria;3996.04;47952.48;333;40.17;0;0;373.17
105;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12875;Profesor Auxiliar;2786.52;33438.24;232.21;40.17;0;0;272.38
106;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11450;Profesor Agregado;4346.97;52163.64;362.25;40.17;0;0;402.42
107;Secretaria Ejecutiva 2;1.Servicio Civil Publico (Losep);15564;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
108;Jefe De Departamento;3.Otros Regimenes Especiales;230;Autoridad Universitaria;3996.04;47952.48;333;40.17;0;0;373.17
109;Profesor Principal 2 Tiempo Completo;3.Otros Regimenes Especiales;13245;Personal Academico Principal;4829.56;57954.72;402.46;40.17;0;0;442.63
110;Analista Administrativo Academico 2;1.Servicio Civil Publico (Losep);15615;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
111;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;12570;Profesor Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
112;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8734;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
113;Especialista De Presupuesto 3;1.Servicio Civil Publico (Losep);15913;Uep Nivel Profesional A3;1760;21120;146.67;40.17;56.98;0;243.82
114;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;11075;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
115;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8723;Profesor Universitario;510.54;6126.48;42.55;40.17;0;0;82.72
116;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8737;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
117;Especialista De Patrocinio Judicial Y Extrajudicial;1.Servicio Civil Publico (Losep);16044;Uep Nivel Profesional A3;1676;20112;139.67;40.17;0;0;179.84
118;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;12690;Profesor Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
119;Profesor Auxiliar Tiempo Completo;3.Otros Regimenes Especiales;8810;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
120;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8752;Profesor Universitario;1021.07;12252.84;85.09;40.17;0;0;125.26
121;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12210;Profesor Auxiliar;3125.27;37503.24;260.44;40.17;0;0;300.61
122;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8477;Profesor Universitario;3193.90;38326.8;266.16;40.17;0;0;306.33
123;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8618;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
124;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8784;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
125;Analista De Admision Y Movilidad 2;1.Servicio Civil Publico (Losep);16050;Uep Nivel Profesional A3;1412;16944;117.67;40.17;70.56;0;228.4
126;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;15719;Personal Academico Agregado;3463.99;41567.88;288.67;40.17;0;0;328.84
127;Responsable Administrativo;1.Servicio Civil Publico (Losep);15612;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
128;Chofer;2.Codigo Del Trabajo;20385;Nivel 3;596;7152;49.67;40.17;0;0;89.84
129;Especialista De Tesoreria 1;1.Servicio Civil Publico (Losep);15834;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
130;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8546;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
131;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8562;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
132;Asistente De Astronomia;1.Servicio Civil Publico (Losep);15881;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;40.17;0;0;122.34
133;Analista Academico E Instruccional 2;1.Servicio Civil Publico (Losep);16075;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
134;Tecnico De Operacion Y Mantenimiento De Maquinaria Y/O Equipos /Tecnico De Operaciones;2.Codigo Del Trabajo;37804;Nivel 8;826;9912;68.83;40.17;0;0;109
135;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8624;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
136;Analista De Evaluacion Y Aseguramiento De La Conformidad;1.Servicio Civil Publico (Losep);16000;Uep Nivel Profesional A3;1212;14544;101;40.17;0;0;141.17
137;Director De Comunicacion;1.Servicio Civil Publico (Losep);10;Uep Nivel Directivo A1;3996.04;47952.48;333;40.17;0;0;373.17
138;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8630;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
139;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;11590;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
140;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8754;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
141;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8490;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
142;Asistente De Astronomia;1.Servicio Civil Publico (Losep);15841;Uep Nivel Profesional A3;986;11832;82.17;40.17;0;0;122.34
143;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8669;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
144;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8804;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
145;Responsable De Presupuesto;1.Servicio Civil Publico (Losep);15508;Uep Nivel Profesional A3;1760;21120;146.67;40.17;158.76;0;345.6
146;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8518;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
147;Tecnico/A De Investigacion 1 Tiempo Completo;3.Otros Regimenes Especiales;8519;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
148;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8729;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
149;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);15617;Uep Nivel Administrativo A5;817;9804;68.08;40.17;0;0;108.25
150;Auxiliar De Servicios;2.Codigo Del Trabajo;37767;Nivel 1;561;6732;46.75;40.17;0;0;86.92
151;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;11435;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
152;Ornitologo;1.Servicio Civil Publico (Losep);15677;Uep Nivel Profesional A3;1760;21120;146.67;40.17;0;0;186.84
153;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;11625;Personal Academico Agregado;3193.90;38326.8;266.16;40.17;0;0;306.33
154;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;13070;Profesor Agregado;4346.97;52163.64;362.25;40.17;0;0;402.42
155;Profesor/A Ocasional Tiempo Parcial;3.Otros Regimenes Especiales;8499;Profesor Universitario;1212.52;14550.24;101.04;40.17;0;0;141.21
156;Tecnico De Audio Y Sonido;2.Codigo Del Trabajo;37765;Nivel 8;700;8400;58.33;40.17;0;0;98.5
157;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8710;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
158;Administrador 3;1.Servicio Civil Publico (Losep);15783;Uep Nivel Profesional A3;1676;20112;139.67;40.17;0;0;179.84
159;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);16030;Uep Nivel Administrativo A5;817;9804;68.08;40.17;0;0;108.25
160;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;12145;Personal Academico Agregado;3744.70;44936.4;312.06;40.17;0;0;352.23
161;Oficinista;1.Servicio Civil Publico (Losep);15567;Uep Nivel Administrativo A5;733;8796;61.08;40.17;0;0;101.25
162;Secretaria;1.Servicio Civil Publico (Losep);15541;Uep Nivel Administrativo A5;817;9804;68.08;40.17;0;0;108.25
163;Secretaria Ejecutiva 1;1.Servicio Civil Publico (Losep);15539;Uep Nivel Profesional Apoyo Tecnico A4;901;10812;75.08;40.17;0;0;115.25
164;Jardinero;2.Codigo Del Trabajo;20475;Nivel 1;561;6732;46.75;40.17;0;0;86.92
165;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11255;Profesor Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
166;Tecnico/A Docente 1 Tiempo Completo;3.Otros Regimenes Especiales;8665;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
167;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;10240;Personal Academico Agregado;4528.09;54337.08;377.34;40.17;0;0;417.51
168;Tecnico/A Docente Tiempo Completo;3.Otros Regimenes Especiales;8749;Personal De Apoyo (Universidades);986;11832;82.17;40.17;0;0;122.34
169;Especialista De Gestion De La Calidad Y Evaluacion Interna;1.Servicio Civil Publico (Losep);15726;Uep Nivel Profesional A3;1676;20112;139.67;40.17;0;0;179.84
170;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;10265;Personal Academico Agregado;4025.42;48305.04;335.45;40.17;0;0;375.62
171;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);4165;Uep Nivel Profesional A3;817;9804;68.08;40.17;0;0;108.25
172;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8573;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
173;Analista De Diseño De Recursos Virtuales;1.Servicio Civil Publico (Losep);15824;Uep Nivel Profesional A3;1412;16944;117.67;40.17;0;0;157.84
174;Especialista En Ciencias Nucleares;1.Servicio Civil Publico (Losep);15718;Uep Nivel Profesional A3;1676;20112;139.67;40.17;0;0;179.84
175;Responsable De Medicina General;1.Servicio Civil Publico (Losep);15987;Servidor Publico 8 De La Salud;1760;21120;146.67;40.17;0;0;186.84
176;Auxiliar De Servicios;2.Codigo Del Trabajo;37775;Nivel 1;561;6732;46.75;40.17;0;0;86.92
177;Especialista De Presupuesto De La Ugips;1.Servicio Civil Publico (Losep);16019;Uep Nivel Profesional A3;1676;20112;139.67;40.17;268.74;0;448.58
178;Profesor/A Ocasional Tiempo Completo;3.Otros Regimenes Especiales;8552;Profesor Universitario;2552.68;30632.16;212.72;40.17;0;0;252.89
179;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;11905;Personal Academico Principal;2552.68;30632.16;212.72;40.17;0;0;252.89
180;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;12255;Profesor Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
181;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11385;Personal Academico Principal;4064.84;48778.08;338.74;40.17;0;0;378.91
182;Profesor Titular Principal De Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;12340;Personal Academico Principal;4528.09;54337.08;377.34;40.17;0;0;417.51
183;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;12480;Personal Academico Principal;4528.09;54337.08;377.34;40.17;0;0;417.51
184;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;14695;Personal Academico Principal;4709.22;56510.64;392.44;40.17;0;0;432.61
185;Auditor Interno 3;1.Servicio Civil Publico (Losep);15732;Jefe;2034;24408;169.5;40.17;0;0;209.67
186;Jardinero;2.Codigo Del Trabajo;10610;Nivel 1;624.79;7497.48;52.07;40.17;0;0;92.24
